id,en
ARENAS_DOORMAN_GREETING,Would you like to participate in the Cassette Arena?
ARENAS_MAIN_MENU1,Debut Arena
ARENAS_MAIN_MENU2,Remasters Arena
ARENAS_MAIN_MENU3,Mix Tapes Arena
ARENAS_MAIN_MENU4,Bootleg Arena
ARENAS_MAIN_MENU5,Custom Arena
ARENAS_MAIN_MENU6,Trainee Recruitment
ARENAS_MAIN_MENU7,Arena Options
ARENAS_MAIN_MENU8,"What's the... ""Cassette Arena""?"
ARENAS_MAIN_MENU9,"No, Thanks"
ARENAS_CHOOSE1,What would you like to do?
ARENAS_CHOOSE_OPTION1,Join Arena
ARENAS_CHOOSE_OPTION2,Review Tape Deck
ARENAS_CHOOSE_OPTION3,Reset Progress
ARENAS_CHOOSE_OPTION4,What's my current Win Streak?
ARENAS_CHOOSE_OPTION5,Nevermind
ARENAS_CONTINUE_CONFIRMED1,"Alright, I'll go get your registered tapes."
ARENAS_CONTINUE_CONFIRMED2,Good luck in there!
ARENAS_NEW_RUN_PROMPT1,What tapes will you be using today?
ARENAS_NEW_RUN_CHOICE1,Rental Tapes
ARENAS_NEW_RUN_CHOICE2,Own Tapes
ARENAS_RENTAL_CONFIRM1,You will have to play with these tapes until you lose a battle or reset your progress.
ARENAS_RENTAL_CONFIRM2,Are you sure you want to use rental tapes?
ARENAS_CONFIRM,Yes
ARENAS_REJECT,No
ARENAS_FORMAT_PROMPT1,Which format would you like to play in?
ARENAS_FORMAT_CHOICE1,Doubles Format
ARENAS_FORMAT_CHOICE2,Triples Format
ARENAS_REGISTRATION1,Great! Let's get you registered.
ARENAS_RENTAL_REGISTRATION,These are the rental tapes we have available this time.
ARENAS_REGISTRATION3,Once you've confirmed your choices these tapes will be your deck for this arena until progress has been reset or you lose a match. Please choose wisely.
ARENAS_REGISTRATION_COMPLETE1,All set. Your tapes have been registered.
ARENAS_TRIPLES_REGISTRATION_PROMPT,Who will you take as your third party member?
ARENAS_CANCEL,I see. [pause] Let me know if there's anything else I can do to assist.
ARENAS_FAILED_BESTIARY_CHECK1,You have not recorded enough eligible forms to particiapte in this arena.
ARENAS_FAILED_BESTIARY_CHECK2,Please come back when you've recorded more monsters.
ARENAS_OWN_TAPE_CONFIRMED1,You will have to play with these tapes until you lose a battle or reset your progress.
ARENAS_OWN_TAPE_CONFIRMED2,Are you sure you want to use your own tapes?
ARENAS_OWN_TAPE_INSPECT1,"Note that, while we do allow you to bring your own tapes to this arena, the tapes still have to meet the arena requirements."
ARENAS_OWN_TAPE_INSPECT2,Please wait one moment while I inspect your tapes.
ARENAS_INSPECTION_PASSED1,Everything appears to be in order.
ARENAS_OWN_TAPES_REGISTRATION,I'll be copying your current tapes to use as your tape deck for this arena.
ARENAS_INSPECTION_FAILED1,"I'm sorry, but your current tapes do not meet the requirements for this arena."
ARENAS_INSPECTION_FAILED2,Please review them and try again later.
